Date,Close
2007-12-28,"1,478.49"
2007-12-27,"1,476.27"
2007-12-26,"1,497.66"
2007-12-24,"1,496.45"
2007-12-21,"1,484.46"
2007-12-20,"1,460.12"
2007-12-19,"1,453.00"
2007-12-18,"1,454.98"
2007-12-17,"1,445.90"
2007-12-14,"1,467.95"
2007-12-13,"1,488.41"
2007-12-12,"1,486.59"
2007-12-11,"1,477.65"
2007-12-10,"1,515.96"
2007-12-07,"1,504.66"
2007-12-06,"1,507.34"
2007-12-05,"1,485.01"
2007-12-04,"1,462.79"
2007-12-03,"1,472.42"
2007-11-30,"1,481.14"
2007-11-29,"1,469.72"
2007-11-28,"1,469.02"
2007-11-27,"1,428.23"
2007-11-26,"1,407.22"
2007-11-23,"1,440.70"
2007-11-21,"1,416.77"
2007-11-20,"1,439.70"
2007-11-19,"1,433.27"
2007-11-16,"1,458.74"
2007-11-15,"1,451.15"
2007-11-14,"1,470.58"
2007-11-13,"1,481.05"
2007-11-12,"1,439.18"
2007-11-09,"1,453.70"
2007-11-08,"1,474.77"
2007-11-07,"1,475.62"
2007-11-06,"1,520.27"
2007-11-05,"1,502.17"
2007-11-02,"1,509.65"
2007-11-01,"1,508.44"
2007-10-31,"1,549.38"
2007-10-30,"1,531.02"
2007-10-29,"1,540.98"
2007-10-26,"1,535.28"
2007-10-25,"1,514.40"
2007-10-24,"1,515.88"
2007-10-23,"1,519.59"
2007-10-22,"1,506.33"
2007-10-19,"1,500.63"
2007-10-18,"1,540.08"
2007-10-17,"1,541.24"
2007-10-16,"1,538.53"
2007-10-15,"1,548.71"
2007-10-12,"1,561.80"
2007-10-11,"1,554.41"
2007-10-10,"1,562.47"
2007-10-09,"1,565.15"
2007-10-08,"1,552.58"
2007-10-05,"1,557.59"
2007-10-04,"1,542.84"
2007-10-03,"1,539.59"
2007-10-02,"1,546.63"
2007-10-01,"1,547.04"
2007-09-28,"1,526.75"
2007-09-27,"1,531.38"
2007-09-26,"1,525.42"
2007-09-25,"1,517.21"
2007-09-24,"1,517.73"
2007-09-21,"1,525.75"
2007-09-20,"1,518.75"
2007-09-19,"1,529.03"
2007-09-18,"1,519.78"
2007-09-17,"1,476.65"
2007-09-14,"1,484.25"
2007-09-13,"1,483.95"
2007-09-12,"1,471.56"
2007-09-11,"1,471.49"
2007-09-10,"1,451.70"
2007-09-07,"1,453.55"
2007-09-06,"1,478.55"
2007-09-05,"1,472.29"
2007-09-04,"1,489.42"
2007-08-31,"1,473.99"
2007-08-30,"1,457.64"
2007-08-29,"1,463.76"
2007-08-28,"1,432.36"
2007-08-27,"1,466.79"
2007-08-24,"1,479.37"
2007-08-23,"1,462.50"
2007-08-22,"1,464.07"
2007-08-21,"1,447.12"
2007-08-20,"1,445.55"
2007-08-17,"1,445.94"
2007-08-16,"1,411.27"
2007-08-15,"1,406.70"
2007-08-14,"1,426.54"
2007-08-13,"1,452.92"
2007-08-10,"1,453.64"
2007-08-09,"1,453.09"
2007-08-08,"1,497.49"
2007-08-07,"1,476.71"
2007-08-06,"1,467.67"
2007-08-03,"1,433.06"
2007-08-02,"1,472.20"
2007-08-01,"1,465.81"
2007-07-31,"1,455.27"
2007-07-30,"1,473.91"
2007-07-27,"1,458.95"
2007-07-26,"1,482.66"
2007-07-25,"1,518.09"
2007-07-24,"1,511.04"
2007-07-23,"1,541.57"
2007-07-20,"1,534.10"
2007-07-19,"1,553.08"
2007-07-18,"1,546.17"
2007-07-17,"1,549.37"
2007-07-16,"1,549.52"
2007-07-13,"1,552.50"
2007-07-12,"1,547.70"
2007-07-11,"1,518.76"
2007-07-10,"1,510.12"
2007-07-09,"1,531.85"
2007-07-06,"1,530.44"
2007-07-05,"1,525.40"
2007-07-03,"1,524.87"
2007-07-02,"1,519.43"
2007-06-29,"1,503.35"
2007-06-28,"1,505.71"
2007-06-27,"1,506.34"
2007-06-26,"1,492.89"
2007-06-25,"1,497.74"
2007-06-22,"1,502.56"
2007-06-21,"1,522.19"
2007-06-20,"1,512.84"
2007-06-19,"1,533.70"
2007-06-18,"1,531.05"
2007-06-15,"1,532.91"
2007-06-14,"1,522.97"
2007-06-13,"1,515.67"
2007-06-12,"1,493.00"
2007-06-11,"1,509.12"
2007-06-08,"1,507.67"
2007-06-07,"1,490.72"
2007-06-06,"1,517.38"
2007-06-05,"1,530.95"
2007-06-04,"1,539.18"
2007-06-01,"1,536.34"
2007-05-31,"1,530.62"
2007-05-30,"1,530.23"
2007-05-29,"1,518.11"
2007-05-25,"1,515.73"
2007-05-24,"1,507.51"
2007-05-23,"1,522.28"
2007-05-22,"1,524.12"
2007-05-21,"1,525.10"
2007-05-18,"1,522.75"
2007-05-17,"1,512.75"
2007-05-16,"1,514.14"
2007-05-15,"1,501.19"
2007-05-14,"1,503.15"
2007-05-11,"1,505.85"
2007-05-10,"1,491.47"
2007-05-09,"1,512.58"
2007-05-08,"1,507.72"
2007-05-07,"1,509.48"
2007-05-04,"1,505.62"
2007-05-03,"1,502.39"
2007-05-02,"1,495.92"
2007-05-01,"1,486.30"
2007-04-30,"1,482.37"
2007-04-27,"1,494.07"
2007-04-26,"1,494.25"
2007-04-25,"1,495.42"
2007-04-24,"1,480.41"
2007-04-23,"1,480.93"
2007-04-20,"1,484.35"
2007-04-19,"1,470.73"
2007-04-18,"1,472.50"
2007-04-17,"1,471.48"
2007-04-16,"1,468.33"
2007-04-13,"1,452.85"
2007-04-12,"1,447.80"
2007-04-11,"1,438.87"
2007-04-10,"1,448.39"
2007-04-09,"1,444.61"
2007-04-05,"1,443.76"
2007-04-04,"1,439.37"
2007-04-03,"1,437.77"
2007-04-02,"1,424.55"
2007-03-30,"1,420.86"
2007-03-29,"1,422.53"
2007-03-28,"1,417.23"
2007-03-27,"1,428.61"
2007-03-26,"1,437.50"
2007-03-23,"1,436.11"
2007-03-22,"1,434.54"
2007-03-21,"1,435.04"
2007-03-20,"1,410.94"
2007-03-19,"1,402.06"
2007-03-16,"1,386.95"
2007-03-15,"1,392.28"
2007-03-14,"1,387.17"
2007-03-13,"1,377.95"
2007-03-12,"1,406.60"
2007-03-09,"1,402.84"
2007-03-08,"1,401.89"
2007-03-07,"1,391.97"
2007-03-06,"1,395.41"
2007-03-05,"1,374.12"
2007-03-02,"1,387.17"
2007-03-01,"1,403.17"
2007-02-28,"1,406.82"
2007-02-27,"1,399.04"
2007-02-26,"1,449.37"
2007-02-23,"1,451.19"
2007-02-22,"1,456.38"
2007-02-21,"1,457.63"
2007-02-20,"1,459.68"
2007-02-16,"1,455.54"
2007-02-15,"1,456.81"
2007-02-14,"1,455.30"
2007-02-13,"1,444.26"
2007-02-12,"1,433.37"
2007-02-09,"1,438.06"
2007-02-08,"1,448.31"
2007-02-07,"1,450.02"
2007-02-06,"1,448.00"
2007-02-05,"1,446.99"
2007-02-02,"1,448.39"
2007-02-01,"1,445.94"
2007-01-31,"1,438.24"
2007-01-30,"1,428.82"
2007-01-29,"1,420.62"
2007-01-26,"1,422.18"
2007-01-25,"1,423.90"
2007-01-24,"1,440.13"
2007-01-23,"1,427.99"
2007-01-22,"1,422.95"
2007-01-19,"1,430.50"
2007-01-18,"1,426.37"
2007-01-17,"1,430.62"
2007-01-16,"1,431.90"
2007-01-12,"1,430.73"
2007-01-11,"1,423.82"
2007-01-10,"1,414.85"
2007-01-09,"1,412.11"
2007-01-08,"1,412.84"
2007-01-05,"1,409.71"
2007-01-04,"1,418.34"
2007-01-03,"1,416.60"
